sport,event,year,athlete_id,country_id,medal
Gymnastics,Gymnastics Men's Horizontal Bar,2016,9392,90,
Gymnastics,Gymnastics Men's Rings,2016,9392,90,
Gymnastics,Gymnastics Men's Pommelled Horse,2016,9392,90,
Swimming,Swimming Women's 400 metres Individual Medley,2016,9460,195,
Track and Field,Women's High Jump,2016,9464,173,Gold
Track and Field,Men's Marathon,2016,9486,15,
Track and Field,Women's Long Jump,2016,9497,193,
Gymnastics,Gymnastics Women's Horse Vault,2016,9537,167,
Track and Field,Women's 400 metres Hurdles,2016,9549,18,
Track and Field,"Women's 5,000 metres",2016,9582,15,
Track and Field,Women's 20 kilometres Walk,2016,9583,63,
Track and Field,Men's 800 metres,2016,9589,3,
Track and Field,Women's 200 metres,2016,9603,74,
Track and Field,Women's 400 metres Hurdles,2016,9677,17,
Track and Field,Women's 400 metres Hurdles,2016,9692,187,
Track and Field,Women's Marathon,2016,9749,50,
Swimming,Swimming Women's 400 metres Freestyle,2016,9750,173,
Swimming,Swimming Women's 800 metres Freestyle,2016,9750,173,
Swimming,Swimming Women's 200 metres Butterfly,2016,9750,173,Gold
Swimming,Swimming Women's 200 metres Individual Medley,2016,9750,173,
Swimming,Swimming Women's 400 metres Individual Medley,2016,9750,173,Bronze
Track and Field,Men's 110 metres Hurdles,2016,9753,67,
Swimming,Swimming Men's 200 metres Freestyle,2016,9773,92,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016,9773,92,
Gymnastics,Gymnastics Men's Individual All-Around,2016,9829,152,
Gymnastics,Gymnastics Men's Team All-Around,2016,9829,152,Silver
Gymnastics,Gymnastics Men's Floor Exercise,2016,9829,152,
Gymnastics,Gymnastics Men's Parallel Bars,2016,9829,152,Bronze
Gymnastics,Gymnastics Men's Horizontal Bar,2016,9829,152,
Gymnastics,Gymnastics Men's Rings,2016,9829,152,
Gymnastics,Gymnastics Men's Pommelled Horse,2016,9829,152,
Track and Field,"Men's 3,000 metres Steeplechase",2016,9931,188,
Track and Field,Men's Triple Jump,2016,9953,195,
Track and Field,Men's 800 metres,2016,10017,92,
Track and Field,Women's Pole Vault,2016,10059,178,
Track and Field,Men's Hammer Throw,2016,10162,73,
